OrderID,OrderDate,Region,Product,Quantity,SalesAmount,CustomerSegment
1001,2024-01-08,West,Smart Display,25,12500,Enterprise
1002,2024-01-14,East,AI Speaker,18,9800,Small Business
1003,2024-01-20,North,Business Laptop,28,14200,Enterprise
1004,2024-01-26,South,Wireless Headset,14,7600,Mid-Market
1005,2024-02-03,West,AI Dashboard,35,18300,Enterprise
1006,2024-02-09,East,Smart Display,22,11000,Small Business
1007,2024-02-15,North,AI Speaker,20,10500,Mid-Market
1008,2024-02-21,South,Smart Display,19,9500,Small Business
1009,2024-03-04,West,Business Laptop,30,15000,Enterprise
1010,2024-03-10,East,Wireless Headset,16,8800,Enterprise
1011,2024-03-16,North,AI Dashboard,40,20500,Enterprise
1012,2024-03-22,South,Business Laptop,24,12000,Mid-Market
1013,2024-04-01,West,AI Speaker,26,11700,Small Business
1014,2024-04-07,East,AI Dashboard,38,19600,Enterprise
1015,2024-04-13,North,Smart Display,21,10500,Mid-Market
1016,2024-04-19,South,AI Speaker,23,10800,Small Business
1017,2024-04-25,West,Wireless Headset,17,8500,Mid-Market
1018,2024-05-02,East,Business Laptop,34,17000,Enterprise
1019,2024-05-08,North,AI Dashboard,42,21500,Enterprise
1020,2024-05-14,South,Smart Display,20,10000,Small Business
